indicatorId,geoUnit,year,type,subtype,value
MOR.5T8.40510,BHR,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BHR,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BIH,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLR,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BLZ,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BMU,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BMU,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BMU,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BMU,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BMU,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BMU,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BMU,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BMU,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BMU,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BMU,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BMU,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BMU,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BRA,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BRA,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BRA,2002,Source,Data sources,UIS Education Survey
